Household ID,Timestamp,Water Consumption (liters),Locality,Household Size,Pressure (bar),Temperature (C),Anomaly
1,2023-04-04 13:56:11.891469,688.8506903817824,Musakhedi,5,1.9236405550706235,27.364227809789636,0
2,2023-12-28 04:25:05.325934,74.44266498922052,Khajrana,4,2.2138265984726333,18.94547906751617,1
3,2023-04-18 02:08:37.982345,328.61608773910547,Palasia,3,3.014141812423838,26.425138047439916,0
4,2023-07-11 05:03:18.720427,114.22854695686057,Annapurna,1,2.7318823134251815,21.80089523873196,0
5,2023-04-21 21:02:41.856300,456.41147394217353,Bicholi Mardana,4,2.805266558470565,28.88119339893894,0
6,2023-06-11 10:27:11.089775,434.70618229421115,Juni Indore,4,1.641430747054742,22.72856429263627,0
7,2023-11-28 22:01:43.630445,235.83927827815927,Scheme No. 54,6,2.3648139177175094,33.490370083760105,1
8,2023-11-04 03:34:59.735946,538.100940192336,Sukhliya,5,2.451170184928519,22.981298454170936,0
9,2023-08-03 21:41:40.298976,714.400047518659,Aerodrome Road,5,1.971874333580954,19.695995109126944,0
10,2023-08-26 18:02:52.795046,708.4291796535099,Mahalaxmi Nagar,6,1.7045126538999555,30.065428690694578,0
11,2023-04-09 20:59:40.953908,127.58767300054713,Sudama Nagar,1,1.990501907727802,26.764946467825176,0
12,2023-01-27 23:57:36.217699,230.94906301916012,Bhawarkua,2,2.509429461990198,32.14377760876616,0
13,2023-04-13 23:05:02.719896,712.4185686087578,Sukhliya,6,2.89164593348386,16.735186843512786,0
14,2023-09-28 14:59:04.801043,149.77209536911957,Annapurna,1,1.791784978367104,17.629262434476153,0
15,2023-10-31 02:51:30.680414,630.2619569075407,Mhow,6,2.166522943752965,15.103511700629305,0
16,2023-09-20 16:52:00.695581,459.95017050259,Old Palasia,4,3.2185535687430376,29.913838205435724,0
17,2023-09-30 15:01:20.580956,321.1509063898975,Sukhliya,3,2.3322032793708267,21.976151095651968,0
18,2023-07-06 19:21:31.971730,540.7441838243122,Bhawarkua,4,1.8343077681901985,24.295968541630366,0
19,2023-04-07 21:56:45.870946,563.1666216790719,Old Palasia,4,1.8080589673934506,22.457769604511,0
20,2023-10-23 05:06:25.898560,340.18204769416565,Aerodrome Road,3,2.6014550045902487,28.0676502921797,0
21,2023-09-06 21:59:14.100853,548.5534845332687,Scheme No. 54,5,3.425233644330711,22.303085606739693,0
22,2023-10-31 04:07:29.268390,347.9247934895524,Rau,3,2.647799096425917,25.18088159406782,0
23,2023-03-11 21:20:54.044749,369.79808790864274,Juni Indore,3,1.714873316832536,16.867723387580334,0
24,2023-11-20 06:37:37.000701,445.11100242717254,Bicholi Mardana,3,1.913730830703283,34.94531197322316,0
25,2023-11-15 16:53:09.263327,432.9645247906577,Nipania,3,1.6598416384409802,30.612592154508597,0
26,2023-04-04 19:20:02.398680,778.1610296217123,Mahalaxmi Nagar,6,3.239209507073469,29.988357616107105,0
27,2023-12-05 14:53:12.885334,290.9399173744524,New Palasia,2,1.5458157733079771,32.18851624153419,0
28,2023-05-05 09:31:02.303445,690.3409028401586,Sudama Nagar,5,1.7472812390072747,20.477003561879926,0
29,2023-10-09 08:29:59.351695,616.2140236642574,Bicholi Mardana,5,2.7404689251055236,31.73337566952217,0
30,2023-10-10 01:54:21.335917,269.88970909172616,Bijalpur,2,1.8968613500039038,26.98558928532666,0
31,2023-08-24 04:50:06.678574,107.65643501422421,Vijay Nagar,1,3.0558490784590395,32.748510425243815,0
32,2023-04-25 06:50:44.687342,539.4928142985817,Old Palasia,5,1.9144206056379665,28.9535166093523,0
33,2023-10-24 05:42:51.883134,566.4376957267242,Navlakha,5,2.8105171294320597,17.75630443466626,0
34,2023-12-09 03:00:00.887992,136.70009532256424,Silicon City,1,1.583284966172289,31.133643062461605,0
35,2023-01-08 00:03:17.504332,512.0199401162537,Pipliyahana,4,1.950760799091902,23.795972738585235,0
36,2023-12-29 17:33:38.787266,241.47945032033033,Sudama Nagar,2,3.328825474990812,29.695053799765464,0
37,2023-07-30 22:46:29.276405,368.36897495126226,Nipania,3,1.9143202642890331,20.154823510641396,0
38,2023-11-24 04:26:29.489352,670.6281891674371,Scheme No. 78,5,2.852771849042669,17.79789167840143,0
39,2023-09-30 11:31:18.893199,292.4067515788293,Aerodrome Road,2,3.355650274476352,16.118135888023872,0
40,2023-04-05 22:36:28.233911,654.2719150074972,Khajrana,6,2.991651074640923,19.916563708743965,0
41,2023-04-20 09:03:43.536290,358.4192468985728,Rau,3,2.8548253649029607,25.069014088627313,0
42,2023-06-29 23:35:49.212771,117.80872673866902,Old Palasia,1,1.8190772422022503,18.625615716838443,0
43,2023-10-17 19:25:52.384424,76.94978241572669,Juni Indore,3,1.5317548999740846,15.356481256282215,1
44,2023-12-26 05:14:40.418413,639.560129985918,Sukhliya,6,2.949461744342112,28.11723507119123,0
45,2023-07-13 18:16:36.147955,249.105363536977,Musakhedi,2,3.0912637188075776,22.887819819676018,0
46,2023-11-16 19:08:15.625559,549.8439656897974,Rajendra Nagar,5,3.167969276164734,19.28329819194291,0
47,2023-10-05 17:47:01.742966,134.91479392263227,Saket Nagar,1,1.6807717662412154,30.832003408411655,0
48,2023-01-16 01:00:58.264614,502.58810181905505,Pipliyahana,5,2.006344564655252,23.322055968958768,0
49,2023-06-16 13:42:22.986892,319.58060755815393,Vijay Nagar,3,2.622254767182545,15.85295451449854,0
50,2023-01-18 00:45:48.365721,430.7935607318091,Bhawarkua,4,2.152140998466903,19.859143048965073,0
